NUM_POSTE;NOM_USUEL;LAT;LON;ALTI
22005003;BELLE-ISLE-EN-TERRE;48.550000;-3.387500;158
22016001;ILE-DE-BREHAT;48.855167;-3.004500;25
22032002;CAULNES-EDF;48.298333;-2.142167;75
22033001;CAUREL-EDF;48.207667;-3.051333;150
22046003;COLLINEE-EDF;48.294833;-2.499333;201
22092001;KERPERT;48.404000;-3.147667;281
22108001;LANLEFF;48.691167;-3.040500;78
22113006;LANNION_AERO;48.755333;-3.468667;85
22114003;LANRELAS-EDF;48.248833;-2.291500;112
22138003;MAEL-PESTIVIEN-EDF;48.418667;-3.303167;257
22147006;MERDRIGNAC;48.188000;-2.420500;145
22168001;PLOUMANAC'H;48.825833;-3.473167;55
22219003;PLOUGUENAST;48.265833;-2.748333;235
22243001;PLUSQUELLEC;48.404167;-3.522333;214
22247002;POMMERIT-JAUDY;48.742000;-3.251000;55
22261002;QUINTENIC;48.519167;-2.420000;71
22266001;ROSTRENEN;48.226667;-3.295333;236
22282001;SAINT-CAST-LE-G;48.644500;-2.247000;35
22294003;ST-GILLES-PLIGEAUX-EDF;48.384333;-3.091333;266
22372001;ST BRIEUC;48.535833;-2.853000;135
29018001;BRENNILIS;48.352667;-3.869000;220
29021001;BRIGNOGAN;48.676500;-4.331000;9
29022001;CAMARET;48.274333;-4.606000;40
29041002;CORAY CHAT EAU;48.066000;-3.825500;242
29058003;BEG_MEIL;47.854500;-3.976167;8
29075001;BREST-GUIPAVAS;48.453833;-4.391167;92
29082001;BATZ;48.746333;-4.011833;32
29105800;LANDIVISIAU_DOUBLE;48.525667;-4.147167;109
29113001;LANMEUR;48.662500;-3.692667;57
29120001;LANVEOC;48.279333;-4.439333;81
29155005;OUESSANT-STIFF;48.473333;-5.057000;64
29158001;PTE DE PENMARCH;47.797500;-4.374833;3
29163003;PLEYBER-CHRIST SA;48.500000;-3.853500;147
29168001;PTE DU RAZ;48.038833;-4.732000;67
29170001;PLOMELIN-INRAE;47.946000;-4.128000;33
29178001;PLOUDALMEZEAU;48.548000;-4.664167;40
29179001;PLOUDANIEL-INRAE;48.503833;-4.327667;76
29190001;PLOUGONVELIN;48.330000;-4.771667;22
29214001;PLOVAN;47.915833;-4.377500;10
29216001;QUIMPER;47.973000;-4.160667;82
29249002;SAINT-GOAZEC;48.144667;-3.730833;260
29263002;ST-SEGAL S A;48.225833;-4.090000;89
29264001;LANDIVISIAU;48.532000;-4.151833;109
29276001;SIBIRIL S A;48.660333;-4.077500;58
29277001;SIZUN;48.391333;-4.020500;157
29293001;TREGUNC;47.841333;-3.868833;25
35005001;ARBRISSEL;47.927333;-1.297333;75
35026001;BLERUAIS;48.111500;-2.124167;84
35044001;BROUALAN;48.485667;-1.640833;99
35057003;LA-CHAPELLE-BOUEXIC;47.921500;-1.940833;42
35110003;FEINS  SA;48.326833;-1.596833;87
35115001;FOUGERES;48.337167;-1.212667;74
35162003;LOUVIGNE-DU-DESERT;48.479333;-1.129833;153
35178001;MEZIERES-SUR-C.;48.308833;-1.439000;71
35202001;LA-NOE-BLANCHE;47.780167;-1.765000;89
35224001;PLERGUER;48.524833;-1.843667;30
35225001;PLESDER;48.406833;-1.924833;56
35228001;DINARD;48.584833;-2.076333;65
35238003;RENNES GALLET;48.126167;-1.643500;66
35240001;LE RHEU-INRAE;48.112500;-1.781167;38
35281001;RENNES-ST JACQUES;48.068833;-1.734000;36
35294001;SAINTE MARIE;47.691333;-2.004500;47
35335001;THOURIE;47.845167;-1.450500;67
35347001;VAL-D-IZE;48.167667;-1.302167;106
44015001;BLAIN;47.472833;-1.771667;13
44020001;NANTES-BOUGUENAIS;47.150000;-1.608833;26
44067001;GUEMENE-PENFAO;47.625333;-1.889833;33
44072002;HERBIGNAC;47.426500;-2.336500;22
44103001;ST NAZAIRE-MONTOIR;47.313833;-2.154500;3
44109012;NANTES-VILLE;47.227667;-1.514000;17
44110002;NORT-SUR-ERDRE;47.425167;-1.513667;13
44113001;NOZAY;47.572833;-1.611500;44
44117002;LE PALLET_SAPC;47.141500;-1.336833;35
44120002;PELLERIN(LE);47.210333;-1.828667;4
44129001;PONTCHATEAU;47.439667;-2.105167;34
44131002;PORNIC;47.122000;-2.092500;25
44180005;ST-MARS-LA-JAIL;47.526167;-1.185333;32
44181001;ST-MEME-LE-TENU;47.005667;-1.782500;4
44184001;PTE DE CHEMOULIN;47.233667;-2.298500;14
44188001;ST-PHILBERT;47.029167;-1.652833;18
56004001;ARZAL;47.512667;-2.382667;26
56007001;AURAY;47.659167;-2.971000;26
56009001;BELLE ILE-LE TALUT;47.294333;-3.218333;34
56009003;BELLE-ILE_AERO;47.325667;-3.196833;52
56017003;BIGNAN;47.884333;-2.728833;112
56031001;CAMORS;47.823833;-2.991667;112
56069001;ILE DE GROIX;47.652333;-3.502333;41
56137001;VANNES-MEUCON;47.722000;-2.727000;132
56144001;NAIZIN-INRAE;48.005333;-2.816500;132
56151001;PONTIVY AERODROME;48.055667;-2.916667;125
56159001;PLEUCADEUC;47.765500;-2.387167;65
56163001;PLOERDUT;48.090667;-3.308833;179
56165003;PLOERMEL;47.950833;-2.397500;65
56166005;PLOUAY-SA;47.916167;-3.344500;75
56185001;LORIENT-LANN BIHOUE;47.762833;-3.435667;45
56186003;QUIBERON-AERODROME;47.479833;-3.099000;9
56240003;SARZEAU SA;47.510667;-2.796000;35
56243001;VANNES-SENE;47.604500;-2.714167;3
